iter	Passed	Remaining
587	23536	16491
588	23574	16450
589	23617	16412
590	23661	16374
591	23712	16342
592	23755	16304
593	23799	16267
594	23842	16229
595	23882	16188
596	23924	16149
597	23965	16110
598	24012	16075
599	24055	16036
600	24097	15998
601	24133	15955
602	24168	15911
603	24203	15868
604	24247	15830
605	24290	15792
606	24328	15751
607	24365	15709
608	24402	15667
609	24444	15628
610	24483	15587
611	24521	15546
612	24556	15502
613	24594	15461
614	24637	15423
615	24679	15384
616	24720	15345
617	24759	15304
618	24798	15263
619	24832	15220
620	24874	15180
621	24914	15140
622	24957	15102
623	24998	15063
624	25044	15026
625	25086	14987
626	25131	14950
627	25173	14911
628	25213	14871
629	25255	14832
630	25291	14790
631	25326	14747
632	25363	14705
633	25401	14663
634	25434	14619
635	25473	14579
636	25510	14537
637	25547	14495
638	25584	14453
639	25617	14409
640	25651	14366
641	25692	14327
642	25729	14285
643	25766	14243
644	25802	14201
645	25839	14159
646	25875	14117
647	25911	14075
648	25947	14032
649	25981	13990
650	26017	13948
651	26052	13905
652	26089	13864
653	26128	13823
654	26164	13781
655	26202	13740
656	26238	13698
657	26273	13655
658	26310	13614
659	26347	13572
660	26383	13530
661	26417	13488
662	26452	13445
663	26489	13404
664	26525	13362
665	26562	13321
666	26600	13280
667	26643	13242
668	26683	13201
669	26720	13160
670	26755	13118
671	26789	13075
672	26824	13033
673	26862	12992
674	26901	12952
675	26936	12910
676	26973	12868
677	27010	12827
678	27043	12784
679	27077	12742
680	27114	12701
681	27155	12661
682	27192	12620
683	27234	12582
684	27271	12540
685	27315	12502
686	27354	12462
687	27391	12421
688	27427	12380
689	27467	12340
690	27507	12300
691	27548	12261
692	27584	12220
693	27625	12180
694	27673	12144
695	27711	12103
696	27752	12064
697	27790	12024
698	27831	11984
699	27868	11943
700	27903	11901
701	27938	11860
702	27978	11820
703	28018	11780
704	28062	11742
705	28101	11702
706	28142	11662
707	28187	11625
708	28229	11586
709	28278	11550
710	28323	11512
711	28373	11477
712	28421	11440
713	28471	11404
714	28516	11366
715	28558	11327
716	28598	11287
717	28635	11246
718	28685	11210
719	28729	11172
720	28781	11137
721	28830	11100
722	28878	11063
723	28928	11028
724	28978	10991
725	29026	10954
726	29066	10915
727	29109	10876
728	29150	10836
729	29190	10796
730	29231	10756
731	29277	10719
732	29322	10680
733	29371	10644
734	29412	10604
735	29456	10565
736	29496	10525
737	29530	10483
738	29572	10444
739	29618	10406
740	29668	10369
741	29708	10329
742	29749	10290
743	29795	10252
744	29839	10213
745	29885	10175
746	29935	10138
747	29987	10102
748	30024	10061
749	30064	10021
750	30112	9984
751	30158	9945
752	30203	9907
753	30250	9869
754	30294	9830
755	30345	9794
756	30387	9754
757	30429	9714
758	30470	9675
759	30516	9636
760	30559	9597
761	30607	9559
762	30658	9522
763	30703	9484
764	30749	9445
765	30799	9408
766	30844	9369
767	30886	9330
768	30926	9289
769	30969	9250
770	31016	9212
771	31061	9173
772	31107	9134
773	31151	9095
774	31199	9057
775	31244	9019
776	31288	8979
777	31333	8940
778	31380	8902
779	31429	8864
780	31474	8825
781	31526	8788
782	31574	8750
783	31617	8710
784	31669	8673
785	31709	8633
786	31750	8593
787	31795	8554
788	31838	8514
789	31879	8474
790	31929	8436
791	31981	8399
792	32025	8359
793	32075	8321
794	32116	8281
795	32164	8243
796	32209	8204
797	32251	8163
798	32287	8122
799	32330	8082
800	32370	8041
801	32420	8003
802	32464	7964
803	32507	7924
804	32570	7889
805	32619	7851
806	32669	7813
807	32710	7772
808	32761	7734
809	32800	7693
810	32837	7652
811	32879	7612
812	32920	7572
813	32958	7531
814	33002	7491
815	33074	7458
816	33115	7417
817	33159	7377
818	33203	7337
819	33252	7299
820	33299	7260
821	33341	7220
822	33382	7179
823	33426	7139
824	33471	7099
825	33519	7061
826	33565	7021
827	33610	6981
828	33657	6942
829	33699	6902
830	33742	6862
831	33787	6822
832	33828	6781
833	33871	6741
834	33915	6701
835	33961	6662
836	34022	6625
837	34067	6585
838	34113	6546
839	34157	6506
840	34203	6466
841	34245	6426
842	34293	6386
843	34346	6348
844	34399	6309
845	34446	6270
846	34497	6231
847	34542	6191
848	34581	6150
849	34634	6111
850	34683	6072
851	34725	6032
852	34767	5991
853	34808	5950
854	34852	5910
855	34896	5870
856	34940	5830
857	34990	5790
858	35030	5750
859	35071	5709
860	35112	5668
861	35150	5627
862	35192	5586
863	35237	5546
864	35278	5505
865	35320	5465
866	35364	5425
867	35411	5385
868	35452	5344
869	35493	5303
870	35538	5263
871	35589	5224
872	35636	5184
873	35680	5143
874	35720	5102
875	35763	5062
876	35806	5021
877	35850	4981
878	35894	4941
879	35938	4900
880	35980	4859
881	36025	4819
882	36064	4778
883	36105	4737
884	36147	4697
885	36191	4656
886	36233	4616
887	36274	4575
888	36316	4534
889	36363	4494
890	36408	4453
891	36450	4413
892	36491	4372
893	36532	4331
894	36573	4290
895	36621	4250
896	36664	4210
897	36702	4168
898	36741	4127
899	36788	4087
900	36828	4046
901	36868	4005
902	36908	3964
903	36950	3923
904	36991	3883
905	37042	3843
906	37083	3802
907	37124	3761
908	37164	3720
909	37211	3680
910	37256	3639
911	37300	3599
912	37339	3558
913	37382	3517
914	37425	3476
915	37466	3435
916	37509	3395
917	37549	3354
918	37590	3313
919	37638	3272
920	37682	3232
921	37726	3191
922	37772	3151
923	37815	3110
924	37858	3069
925	37900	3028
926	37945	2988
927	37985	2947
928	38031	2906
929	38068	2865
930	38109	2824
931	38147	2783
932	38198	2743
933	38240	2702
934	38281	2661
935	38324	2620
936	38361	2579
937	38396	2537
938	38431	2496
939	38470	2455
940	38510	2414
941	38552	2373
942	38596	2332
943	38644	2292
944	38687	2251
945	38727	2210
946	38782	2170
947	38829	2129
948	38869	2088
949	38909	2047
950	38953	2007
951	39000	1966
952	39052	1926
953	39093	1885
954	39131	1843
955	39173	1802
956	39216	1762
957	39260	1721
958	39302	1680
959	39348	1639
960	39389	1598
961	39434	1557
962	39478	1516
963	39522	1475
964	39565	1435
965	39613	1394
966	39658	1353
967	39707	1312
968	39744	1271
969	39779	1230
970	39819	1189
971	39861	1148
972	39900	1107
973	39935	1066
974	39981	1025
975	40031	984
976	40073	943
977	40115	902
978	40156	861
979	40201	820
980	40242	779
981	40283	738
982	40324	697
983	40366	656
984	40412	615
985	40462	574
986	40509	533
987	40554	492
988	40603	451
989	40648	410
990	40687	369
991	40727	328
992	40769	287
993	40813	246
994	40850	205
995	40893	164
996	40941	123
997	40986	82
998	41032	41
999	41079	0
